Name,Cuisine,Location,Price,Vegan/Meat,Country,Latitude,Longitude,Address,PostalCode
Al Forno (East Coast) Italian Restaurant,"Italian, Vegetarian Friendly",East Coast,$$$,Vegan,Singapore,1.2973773,103.8771657,"East Coast, Kallang Paya Lebar Expressway, Tanjong Rhu, Kallang, Southeast, 397693, Singapore",397693
Al Forno Tapas & Wine Bar,"Bar, Italian, All-Day Breakfast, Vegetarian Friendly",East Coast,$$,Vegan,Singapore,1.2973773,103.8771657,"East Coast, Kallang Paya Lebar Expressway, Tanjong Rhu, Kallang, Southeast, 397693, Singapore",397693
Al Majlis Serangoon Road,"Indian, Malaysian, Thai, Seafood, All-Day Breakfast, Local, Halal Certified, Burgers, BBQ, Muslim-Friendly, Muslim-Owned, Western, Coffee",Serangoon,$$,Meat,Singapore,1.34976105,103.8736841,"Serangoon, Upper Serangoon Road, Serangoon, Singapore, Southeast, 534801, Singapore",534801
Alati Divine Greek Cuisine,"Seafood, Greek, Vegetarian Friendly",Tanjong Pagar,$$$,Vegan,Singapore,1.27660565,103.8457793,"Tanjong Pagar, 120, Maxwell Road, Shenton Way, Downtown Core, Singapore, Central, 069115, Singapore",69115
Alati Divine Greek Cuisine,"Seafood, Greek, Vegetarian Friendly",Telok Ayer,$$$,Vegan,Singapore,1.28233605,103.848291,"Telok Ayer, 7, Cross Street, Chinatown, Outram, Singapore, Central, 048424, Singapore",48424
Alaturka Turkish & Mediterranean Restaurant,"Middle Eastern, Vegetarian Friendly, Muslim-Owned",Bugis,$$,Vegan,Singapore,1.299966,103.8552892,"Bugis, Tan Quee Lan Street, Bugis, Downtown Core, Singapore, Central, 188749, Singapore",188749
Alegria,Mexican,Outram,$$$,Meat,Singapore,1.2816642,103.840653,"Outram, Singapore, Central, Singapore",
Alice Boulangerie,"Modern European, French, Italian, Fusion, Seafood, All-Day Breakfast, British, Cafe, Burgers, Ice Cream, Desserts, Western, Juice, Coffee, Small Bites",Tanjong Pagar,$$$,Meat,Singapore,1.27660565,103.8457793,"Tanjong Pagar, 120, Maxwell Road, Shenton Way, Downtown Core, Singapore, Central, 069115, Singapore",69115
Alijiang 阿里疆,"Chinese, Vegetarian Friendly",Harbourfront,$$,Vegan,Singapore,1.265362,103.8215518,"HarbourFront, Telok Blangah Road, Bukit Merah, Singapore, Central, 098867, Singapore",98867
Alkove Bistro,"French, Fusion, All-Day Breakfast, Cafe, Coffee",Hougang,$$,Meat,Singapore,1.3708011,103.8925443,"Hougang, Hougang Central, Hougang, Singapore, Northeast, 538758, Singapore",538758
Alley Bar,"Bar, Fusion, Local, Peranakan",Orchard,$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
Alley on 25,"Buffet, Chinese, International, Seafood, Vegetarian Friendly, Local, Southeast Asian, Burgers, Modern Asian, High Tea",Bugis,$$$,Vegan,Singapore,1.299966,103.8552892,"Bugis, Tan Quee Lan Street, Bugis, Downtown Core, Singapore, Central, 188749, Singapore",188749
Allo French Cuisine,"Modern European, French, Fusion, Steakhouse, Vegetarian Friendly, Cafe, Desserts, Western, Juice, Coffee, Small Bites",Jalan Besar,$$$,Vegan,Singapore,1.3064665,103.8559981,"Jalan Besar, Little India, Rochor, Singapore, Central, 208828, Singapore",208828
Alma By Juan Amador,Modern European,Orchard,$$$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
Alphas Tavern,"Malaysian, Local, Asian, Western, Coffee",Lavender,$$$,Meat,Singapore,1.30734955,103.8631527,"Lavender, 50, Kallang Road, Kallang, Singapore, Central, 208699, Singapore",208699
Alter Ego,"American, Bar, Fusion, Cafe",City Hall,$$,Meat,Singapore,1.2930272,103.8526448,"City Hall, Stamford Road, Civic District, Downtown Core, Singapore, Central, 178905, Singapore",178905
Alter Ego,"American, Bar, Fusion, Cafe",Marina Bay,$$,Meat,Singapore,1.27546735,103.8547733,"Marina Bay, Commerce Street, Downtown Central, Downtown Core, Singapore, Central, 018990, Singapore",18990
Alter Ego,"American, Bar, Fusion, Cafe",Promenade,$$,Meat,Singapore,1.29267315,103.8610155,"Promenade, Temasek Avenue, Suntec City, Downtown Core, Singapore, Central, 038986, Singapore",38986
Alter Ego,"American, Bar, Fusion, Cafe",Esplanade,$$,Meat,Singapore,1.29348725,103.8553908,"Esplanade, 90, Bras Basah Road, Suntec City, Downtown Core, Singapore, Central, 189562, Singapore",189562
Alter Ego,"American, Bar, Fusion, Cafe",Marina Central,$$,Meat,Singapore,1.2894104,103.8631253,"Singapore Flyer, Raffles Avenue, Marina Centre, Downtown Core, Singapore, Central, 039799, Singapore",39799
Altro Zafferano,Italian,Marina Bay,$$$,Meat,Singapore,1.27546735,103.8547733,"Marina Bay, Commerce Street, Downtown Central, Downtown Core, Singapore, Central, 018990, Singapore",18990
Altro Zafferano,Italian,Raffles Place,$$$,Meat,Singapore,1.2835417,103.8514602,"Raffles Place, Marina Boulevard, Downtown Central, Downtown Core, Singapore, Central, 049247, Singapore",49247
Amano,Italian,Bukit Timah,$$$,Meat,Singapore,1.3546901,103.7763724,"Bukit Timah Hill, Northwest, 589333, Singapore",589333
Amber West,International,Choa Chu Kang,$$,Meat,Singapore,1.3853167,103.744325,"Choa Chu Kang, 10, Choa Chu Kang Avenue 4, Peng Siang, Choa Chu Kang, Singapore, Southwest, 689810, Singapore",689810
Ambling Turtle,"All-Day Breakfast, Local, Southeast Asian, Cafe",East Coast,$$,Meat,Singapore,1.2973773,103.8771657,"East Coast, Kallang Paya Lebar Expressway, Tanjong Rhu, Kallang, Southeast, 397693, Singapore",397693
Ambush-Pan European Dining (Junction 8),"Modern European, French, Italian, Spanish, Seafood, German, Cafe",Bishan,$$,Meat,Singapore,1.3509859,103.8482551,"Bishan, Bishan Place, Bishan, Singapore, Central, 579841, Singapore",579841
Ameising Bar & Dining,"Bar, Japanese",Raffles Place,$$,Meat,Singapore,1.2835417,103.8514602,"Raffles Place, Marina Boulevard, Downtown Central, Downtown Core, Singapore, Central, 049247, Singapore",49247
Ameising Live House,"Chinese, Japanese, Fusion, Local, Asian",Promenade,$$$,Meat,Singapore,1.29267315,103.8610155,"Promenade, Temasek Avenue, Suntec City, Downtown Core, Singapore, Central, 038986, Singapore",38986
Amo,"Bar, Italian, Vegetarian Friendly",Clarke Quay,$$$,Vegan,Singapore,1.2887582,103.8466978,"Clarke Quay, 6, Eu Tong Sen Street, Clarke Quay, Singapore River, Singapore, Central, 059817, Singapore",59817
Amy's Winebar,"Bar, Southeast Asian, Modern Asian",Holland Village,$$$,Meat,Singapore,1.31172195,103.7960797,"Holland Village, 200, Holland Avenue, Bukit Timah, Singapore, Northwest, 278995, Singapore",278995
Anglo Indian Cafe & Bar (CHIJMES),Indian,City Hall,$$,Meat,Singapore,1.2930272,103.8526448,"City Hall, Stamford Road, Civic District, Downtown Core, Singapore, Central, 178905, Singapore",178905
Anglo Indian Cafe & Bar (CHIJMES),Indian,CHIJMES,$$,Meat,Singapore,1.29520645,103.8521129,"CHIJMES, Downtown Core, Singapore, Central, 187996, Singapore",187996
Anglo Indian Cafe & Bar (Marina One),Indian,Marina Bay,$$,Meat,Singapore,1.27546735,103.8547733,"Marina Bay, Commerce Street, Downtown Central, Downtown Core, Singapore, Central, 018990, Singapore",18990
Anglo Indian Cafe & Bar (Shenton Way),Indian,Marina Bay,$$,Meat,Singapore,1.27546735,103.8547733,"Marina Bay, Commerce Street, Downtown Central, Downtown Core, Singapore, Central, 018990, Singapore",18990
Anouska's Restaurant and Bar,"Bar, Chinese, Modern Asian",Tanjong Pagar,$$$,Meat,Singapore,1.27660565,103.8457793,"Tanjong Pagar, 120, Maxwell Road, Shenton Way, Downtown Core, Singapore, Central, 069115, Singapore",69115
Anthology,Modern Asian,Boat Quay,$$$,Meat,Singapore,1.2884676,103.849337,"Boat Quay, Clarke Quay, Singapore River, Singapore, Central, 049866, Singapore",49866
ANTI:DOTE,"Bar, High Tea",City Hall,$$,Meat,Singapore,1.2930272,103.8526448,"City Hall, Stamford Road, Civic District, Downtown Core, Singapore, Central, 178905, Singapore",178905
Anyi Noodles,Chinese,Tanjong Pagar,$$,Meat,Singapore,1.27660565,103.8457793,"Tanjong Pagar, 120, Maxwell Road, Shenton Way, Downtown Core, Singapore, Central, 069115, Singapore",69115
Aoki Japanese Restaurant,Japanese,Orchard,$$$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
Apollo Coffee Bar,"Fusion, All-Day Breakfast, Cafe",Serangoon,$$,Meat,Singapore,1.34976105,103.8736841,"Serangoon, Upper Serangoon Road, Serangoon, Singapore, Southeast, 534801, Singapore",534801
Apricus Coffee & Food Co.,"Australian, Fusion, Seafood, All-Day Breakfast, Vegetarian Friendly, Cafe, Burgers, Desserts, Muslim-Friendly, Coffee, Small Bites",Sengkang,$$,Vegan,Singapore,1.39192365,103.8954909,"Sengkang, Sengkang Square, Compassvale, Seng Kang, Singapore, Northeast, 544706, Singapore",544706
Apéro,"Bar, French, International, Western",Boat Quay,$$$,Meat,Singapore,1.2884676,103.849337,"Boat Quay, Clarke Quay, Singapore River, Singapore, Central, 049866, Singapore",49866
Arbenz @ Swiss Club,"Modern European, Fusion",Bukit Timah,$$$$,Meat,Singapore,1.3546901,103.7763724,"Bukit Timah Hill, Northwest, 589333, Singapore",589333
Arbora,Fusion,Harbourfront,$$$,Meat,Singapore,1.265362,103.8215518,"HarbourFront, Telok Blangah Road, Bukit Merah, Singapore, Central, 098867, Singapore",98867
Arc-en-ciel Patisserie,Desserts,Tanjong Pagar,$$,Meat,Singapore,1.27660565,103.8457793,"Tanjong Pagar, 120, Maxwell Road, Shenton Way, Downtown Core, Singapore, Central, 069115, Singapore",69115
Arkadas Cafe,Middle Eastern,Buona Vista,$$,Meat,Singapore,1.30660965,103.790751,"Buona Vista, North Buona Vista Road, Rochester Hill, Queenstown, Singapore, Southwest, 139350, Singapore",139350
Armenor,Modern European,Bugis,$$,Meat,Singapore,1.299966,103.8552892,"Bugis, Tan Quee Lan Street, Bugis, Downtown Core, Singapore, Central, 188749, Singapore",188749
Art di Daniele Sperindio,Italian,City Hall,$$$,Meat,Singapore,1.2930272,103.8526448,"City Hall, Stamford Road, Civic District, Downtown Core, Singapore, Central, 178905, Singapore",178905
"ART, The",Western,Bukit Panjang,$$,Meat,Singapore,1.3779175,103.7630947,"Bukit Panjang, Petir Road, Jelebu, Bukit Panjang, Singapore, Northwest, 678213, Singapore",678213
Artistick,"Bar, Chinese, BBQ",Chinatown,$$,Meat,Singapore,1.2829435,103.8441517,"Chinatown, Trengganu Street, Chinatown, Outram, Singapore, Central, 058469, Singapore",58469
Ashino,Japanese,City Hall,$$$$$,Meat,Singapore,1.2930272,103.8526448,"City Hall, Stamford Road, Civic District, Downtown Core, Singapore, Central, 178905, Singapore",178905
Ashino,Japanese,CHIJMES,$$$$$,Meat,Singapore,1.29520645,103.8521129,"CHIJMES, Downtown Core, Singapore, Central, 187996, Singapore",187996
Asian Market Cafe,"Buffet, Fusion, International, Seafood, Halal Certified",City Hall,$$$,Meat,Singapore,1.2930272,103.8526448,"City Hall, Stamford Road, Civic District, Downtown Core, Singapore, Central, 178905, Singapore",178905
Asian Twist by 365 Food,"Bar, Fusion, International, Vegetarian Friendly, Local, Cafe, Modern Asian, Vegan Friendly, Desserts, Healthy Eats, Small Bites",Queenstown,$$,Vegan,Singapore,1.2946226,103.8060366,"Queenstown, 301, Commonwealth Avenue, Queenstown, Singapore, Central, 149729, Singapore",149729
AT feast,"American, British, Vegetarian Friendly, Burgers, Vegan Friendly, Desserts, Healthy Eats, Western, Juice, Coffee",Dempsey,$$,Vegan,Singapore,1.3045037,103.8100574,"Dempsey Hill, Tanglin, Singapore, Central, Singapore",
Atelier Lounge,"Bar, International, Desserts, Coffee",Orchard,$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
Atico Lounge,"Bar, High Tea",Orchard,$$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
Atlas Coffeehouse,"Fusion, All-Day Breakfast, Vegetarian Friendly, Cafe",Bukit Timah,$$,Vegan,Singapore,1.3546901,103.7763724,"Bukit Timah Hill, Northwest, 589333, Singapore",589333
Atrium Bar 317,"Bar, Local, Dim Sum, Western",Outram,$$,Meat,Singapore,1.2816642,103.840653,"Outram, Singapore, Central, Singapore",
Atrium Lounge,"American, International, Local, High Tea",Marina Bay,$$$,Meat,Singapore,1.27546735,103.8547733,"Marina Bay, Commerce Street, Downtown Central, Downtown Core, Singapore, Central, 018990, Singapore",18990
Atrium Restaurant,"Buffet, Chinese, Indian, International, Seafood, Vegetarian Friendly, Local, Halal Certified, Burgers, Modern Asian",Tiong Bahru,$$$,Vegan,Singapore,1.28617925,103.8272252,"Tiong Bahru, 300, Tiong Bahru Road, Bukit Merah, Singapore, Central, 168731, Singapore",168731
Atrium Restaurant,"Buffet, Chinese, Indian, International, Seafood, Vegetarian Friendly, Local, Halal Certified, Burgers, Modern Asian",Outram,$$$,Vegan,Singapore,1.2816642,103.840653,"Outram, Singapore, Central, Singapore",
Au Balcon @ The Summerhouse,"Modern European, French, Vegetarian Friendly",Seletar,$$$$,Vegan,Singapore,1.4098488,103.8773789,"Seletar, Central, Singapore",
Aura Loft,Western,Lavender,$$,Meat,Singapore,1.30734955,103.8631527,"Lavender, 50, Kallang Road, Kallang, Singapore, Central, 208699, Singapore",208699
Avenue On 3 Cafe,Healthy Eats,Orchard,$$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
Awadh,Indian,Orchard,$$,Meat,Singapore,1.30312075,103.8313759,"Orchard, Orchard Boulevard, Orchard, Singapore, Central, 238801, Singapore",238801
Awfully Chocolate (Greenwich V),Cafe,Yio Chu Kang,$$,Meat,Singapore,1.3817905,103.8449359,"Yio Chu Kang, 3000, Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569770, Singapore",569770
Awfully Chocolate (Greenwich V),Cafe,Ang Mo Kio,$$,Meat,Singapore,1.3692078,103.8503986,"Ang Mo Kio, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560424, Singapore",560424
Awfully Chocolate Bakery & Cafe,"Bar, All-Day Breakfast, Cafe",East Coast,$$,Meat,Singapore,1.2973773,103.8771657,"East Coast, Kallang Paya Lebar Expressway, Tanjong Rhu, Kallang, Southeast, 397693, Singapore",397693
Axsolute Bistro,"American, Italian, Steakhouse, Vegetarian Friendly",Toa Payoh,$$,Vegan,Singapore,1.3353906,103.8497414,"Toa Payoh, Singapore, Central, Singapore",
